Win/Loss, Final Score, Highest Tile, Number of Moves, Time Elapsed
L, 11472, 1024, 672, 2.96231
L, 17412, 1024, 1037, 4.13253
W, 32432, 2048, 1651, 6.56619
W, 30792, 2048, 1560, 7.05884
L, 4720, 512, 324, 1.76002
L, 12232, 1024, 725, 3.59719
L, 12332, 1024, 747, 3.79211
W, 31188, 2048, 1559, 6.70126
L, 16656, 1024, 995, 4.70518
W, 30376, 2048, 1516, 6.31421
L, 16184, 1024, 951, 4.82563
W, 27172, 2048, 1409, 7.06846
L, 21384, 1024, 1198, 5.13961
W, 35660, 2048, 1832, 8.25156
L, 17304, 1024, 1024, 4.0536
W, 33436, 2048, 1683, 7.19261
L, 5468, 512, 383, 1.91116
L, 15692, 1024, 927, 3.83066
W, 33852, 2048, 1712, 8.17183
W, 36804, 2048, 1920, 9.3161
L, 14332, 1024, 867, 4.02329
L, 15344, 1024, 889, 4.37354
L, 11920, 1024, 725, 3.14991
W, 37064, 2048, 1938, 8.81583
L, 11576, 1024, 698, 3.58537
L, 16028, 1024, 930, 4.79366
L, 15744, 1024, 927, 4.21299
W, 21704, 2048, 1092, 4.58947
L, 11312, 1024, 676, 3.27023
W, 26864, 2048, 1374, 6.00569
L, 5688, 512, 394, 2.16497
W, 27364, 2048, 1417, 5.18533
L, 16676, 1024, 992, 4.92557
W, 34188, 2048, 1731, 8.6415
L, 12524, 1024, 757, 4.28958
L, 20072, 1024, 1174, 4.79377
L, 16088, 1024, 946, 4.33695
W, 37220, 2048, 1959, 8.68283
L, 16756, 1024, 1004, 4.63924
W, 35348, 2048, 1827, 7.73395
L, 14028, 1024, 850, 4.29183
L, 13644, 1024, 778, 4.34105
W, 32956, 2048, 1665, 7.60969
W, 47448, 4096, 2118, 9.34375
W, 33340, 2048, 1741, 7.87503
W, 32624, 2048, 1686, 8.03125
L, 10536, 1024, 621, 2.78059
W, 32328, 2048, 1661, 7.26285
W, 26260, 2048, 1360, 6.87143
W, 32400, 2048, 1674, 8.1158
W, 31528, 2048, 1673, 6.56927
W, 31900, 2048, 1703, 7.69627
L, 17896, 1024, 1072, 4.58963
W, 25580, 2048, 1291, 6.24355
L, 12796, 1024, 763, 3.24087
W, 21972, 2048, 1106, 4.20813
L, 16688, 1024, 987, 4.09744
W, 60552, 4096, 2844, 11.0717
L, 14188, 1024, 819, 4.53863
W, 25828, 2048, 1332, 6.86674
L, 9036, 512, 618, 2.74068
L, 16504, 1024, 989, 5.14116
L, 8944, 512, 615, 3.12106
W, 27660, 2048, 1442, 6.10757
W, 21544, 2048, 1076, 5.47768
W, 32680, 2048, 1693, 6.81429
L, 10748, 1024, 639, 2.80242
L, 16964, 1024, 1019, 5.39583
L, 16172, 1024, 962, 4.59756
W, 32800, 2048, 1714, 7.83968
L, 6980, 512, 489, 2.86842
L, 16172, 1024, 957, 4.05073
L, 10588, 1024, 633, 2.91869
W, 23444, 2048, 1205, 4.78644
L, 9388, 512, 646, 3.06275
L, 16852, 1024, 977, 4.94137
W, 32664, 2048, 1697, 8.50926
W, 35580, 2048, 1834, 8.99596
L, 16644, 1024, 988, 4.64422
L, 17128, 1024, 1029, 5.13602
L, 14484, 1024, 869, 4.19326
L, 17796, 1024, 1052, 4.22347
L, 12356, 1024, 731, 3.49411
L, 20228, 1024, 1201, 4.95563
W, 22380, 2048, 1108, 5.56852
W, 26700, 2048, 1386, 6.78068
L, 8580, 512, 587, 2.84834
L, 17820, 1024, 1058, 4.60603
W, 27632, 2048, 1450, 7.17491
W, 34596, 2048, 1773, 8.15394
L, 6520, 512, 466, 2.54898
L, 18112, 1024, 1048, 4.41153
L, 14852, 1024, 898, 3.83128
L, 14204, 1024, 822, 4.43142
L, 9640, 1024, 550, 3.07517
W, 34824, 2048, 1793, 8.20652
L, 12280, 1024, 734, 3.02063
W, 27484, 2048, 1430, 7.2309
L, 10844, 1024, 647, 3.51057
W, 30784, 2048, 1564, 6.70284
L, 7068, 512, 479, 2.80183
L, 16460, 1024, 978, 4.29583
L, 10996, 1024, 639, 3.46283
W, 35200, 2048, 1790, 7.63082
W, 23616, 2048, 1220, 5.07459
W, 32376, 2048, 1669, 7.28715
L, 20044, 1024, 1171, 4.67145
W, 23784, 2048, 1237, 5.67236
L, 17176, 1024, 1021, 4.63124
W, 33964, 2048, 1724, 8.06151
W, 59312, 4096, 2726, 11.1185
W, 56260, 4096, 2545, 11.2477
L, 14856, 1024, 913, 3.45227
W, 27512, 2048, 1438, 5.96115
L, 10468, 1024, 614, 3.28318
L, 17080, 1024, 1017, 4.52466
W, 35048, 2048, 1827, 8.12307
W, 35812, 2048, 1849, 8.38158
W, 35916, 2048, 1864, 7.67476
W, 35580, 2048, 1838, 7.70567
L, 16568, 1024, 988, 4.55715
L, 16188, 1024, 954, 4.73774
L, 10496, 1024, 616, 2.99186
W, 27240, 2048, 1401, 6.0527
L, 17808, 1024, 1055, 4.31901
W, 34820, 2048, 1787, 7.91835
L, 16776, 1024, 994, 4.86073
W, 58004, 4096, 2658, 11.9104
W, 32244, 2048, 1656, 7.47971
W, 37140, 2048, 1945, 9.11581
L, 12120, 1024, 722, 3.66713
L, 15844, 1024, 921, 3.8814
L, 12240, 1024, 725, 3.6116
W, 32996, 2048, 1699, 7.61127
L, 7300, 512, 505, 2.90106
L, 12592, 1024, 763, 4.35891
L, 10940, 1024, 652, 3.55234
W, 27572, 2048, 1464, 7.18155
L, 7192, 512, 498, 2.46697
L, 16404, 1024, 977, 4.54664
L, 13924, 1024, 840, 4.14432
L, 19680, 1024, 1155, 4.62172
L, 16960, 1024, 984, 4.22511
W, 21288, 2048, 1077, 5.14269
L, 9000, 512, 611, 2.85648
L, 27040, 1024, 1526, 6.67807
L, 9544, 512, 653, 3.02522
W, 21576, 2048, 1082, 5.21538
W, 28032, 2048, 1477, 7.58991
W, 33760, 2048, 1705, 7.81831
W, 31468, 2048, 1596, 7.19696
W, 33084, 2048, 1725, 8.12865
L, 10052, 1024, 569, 2.76961
L, 18600, 1024, 1120, 4.69858
W, 36324, 2048, 1892, 7.67921
W, 37404, 2048, 1957, 9.6438
W, 25112, 2048, 1274, 6.6851
W, 60364, 4096, 2803, 12.5678
L, 15668, 1024, 905, 4.14942
W, 34564, 2048, 1772, 7.73316
W, 22248, 2048, 1111, 5.2975
W, 30848, 2048, 1566, 7.3212
L, 16184, 1024, 952, 4.53405
W, 60408, 4096, 2810, 11.5135
W, 22904, 2048, 1166, 5.12
W, 34648, 2048, 1781, 7.86091
W, 32176, 2048, 1634, 6.56745
W, 30788, 2048, 1548, 7.30331
L, 7616, 512, 537, 2.37259
W, 26376, 2048, 1343, 6.9138
W, 23244, 2048, 1183, 4.60297
W, 32932, 2048, 1700, 7.0344
L, 12148, 1024, 728, 3.93202
L, 15820, 1024, 937, 4.60756
W, 25328, 2048, 1340, 6.72439
W, 27296, 2048, 1427, 7.08075
W, 26352, 2048, 1353, 6.65342
W, 35900, 2048, 1839, 7.49724
L, 7452, 512, 505, 3.06137
W, 23932, 2048, 1238, 5.31996
W, 27608, 2048, 1462, 6.51033
W, 32616, 2048, 1689, 8.22133
L, 6184, 512, 437, 2.04607
W, 36252, 2048, 1890, 8.03304
L, 7844, 512, 545, 2.69145
W, 27324, 2048, 1429, 6.72923
L, 8880, 512, 603, 2.97697
W, 51044, 4096, 2299, 9.90635
W, 21908, 2048, 1120, 5.53143
W, 48028, 4096, 2153, 9.06477
L, 16604, 1024, 983, 4.84428
W, 28324, 2048, 1507, 7.07474
L, 16220, 1024, 950, 5.04676
W, 36268, 2048, 1878, 8.32108
L, 16548, 1024, 995, 4.86546
W, 23512, 2048, 1208, 6.33232
L, 8836, 512, 619, 2.87854
W, 31096, 2048, 1625, 7.12691
W, 25276, 2048, 1291, 5.36449
W, 23504, 2048, 1212, 5.75438
L, 16200, 1024, 962, 5.05625
L, 16568, 1024, 985, 5.31081
L, 7212, 512, 503, 2.88739
W, 59832, 4096, 2776, 11.7619
W, 35992, 2048, 1842, 8.04245
W, 35716, 2048, 1853, 8.53412
L, 9216, 512, 634, 3.0993
W, 31448, 2048, 1582, 7.01355
W, 25752, 2048, 1325, 6.05972
W, 36204, 2048, 1884, 8.34879
L, 11024, 1024, 660, 3.07376
W, 32004, 2048, 1634, 7.61858
W, 35288, 2048, 1821, 8.15923
W, 37020, 2048, 1937, 8.28653
L, 15076, 1024, 889, 3.72218
W, 27276, 2048, 1421, 6.04247
L, 10300, 1024, 588, 3.11504
W, 35964, 2048, 1874, 7.08675
L, 12460, 1024, 752, 3.37845
L, 17948, 1024, 1077, 4.68353
L, 15280, 1024, 908, 4.73454
W, 31684, 2048, 1618, 6.9616
L, 3504, 256, 295, 1.81084
W, 32244, 2048, 1645, 7.23845
L, 5580, 512, 399, 2.10256
W, 24456, 2048, 1216, 5.11491
L, 14612, 1024, 854, 4.60448
L, 16488, 1024, 985, 5.24161
L, 7340, 512, 502, 2.54263
W, 21600, 2048, 1087, 5.44517
L, 13352, 1024, 805, 3.29397
W, 30708, 2048, 1561, 6.8078
L, 7452, 512, 523, 3.05719
W, 34708, 2048, 1777, 7.94608
W, 30592, 2048, 1547, 6.9383
W, 32456, 2048, 1665, 8.20024
L, 14368, 1024, 872, 4.54335
W, 27200, 2048, 1420, 7.29365
L, 7456, 512, 515, 2.79614
W, 36636, 2048, 1921, 7.98919
L, 8208, 512, 574, 2.78257
W, 35628, 2048, 1847, 8.13197
L, 7500, 512, 526, 3.00006
L, 15912, 1024, 948, 5.19002
L, 20368, 1024, 1203, 5.28309
W, 28088, 2048, 1481, 6.41975
W, 27700, 2048, 1464, 6.8557
W, 27756, 2048, 1468, 7.54334
L, 7392, 512, 515, 2.67843
L, 17876, 1024, 1068, 4.49211
L, 9080, 512, 633, 3.0515
L, 15476, 1024, 901, 4.46034
L, 16484, 1024, 979, 5.07449
W, 23964, 2048, 1239, 6.14206
W, 23468, 2048, 1202, 5.91381
W, 32500, 2048, 1672, 8.213
W, 25928, 2048, 1345, 5.76203
W, 35848, 2048, 1838, 7.89559
L, 17216, 1024, 1007, 4.11626
W, 35548, 2048, 1830, 7.75811
L, 14328, 1024, 883, 4.08081
W, 36836, 2048, 1924, 8.12031
L, 16548, 1024, 976, 4.35047
L, 16004, 1024, 925, 4.61745
L, 15272, 1024, 875, 4.47666
L, 16428, 1024, 981, 4.48619
L, 16096, 1024, 953, 4.57908
W, 27484, 2048, 1442, 6.14526
L, 12396, 1024, 738, 3.55405
W, 27476, 2048, 1440, 6.17069
L, 7208, 512, 497, 2.92306
L, 15036, 1024, 875, 4.14791
L, 11676, 1024, 690, 3.24717
L, 16584, 1024, 993, 4.28998
L, 7200, 512, 496, 2.64645
W, 35560, 2048, 1830, 7.76248
L, 17624, 1024, 1044, 4.57858
W, 23988, 2048, 1230, 4.58697
W, 35472, 2048, 1823, 7.91075
W, 36504, 2048, 1904, 8.76098
L, 6880, 512, 468, 2.38557
W, 32948, 2048, 1704, 7.40318
W, 36216, 2048, 1881, 8.094
W, 55864, 4096, 2550, 10.5579
L, 7608, 512, 537, 2.36335
L, 16480, 1024, 979, 4.71421
W, 21648, 2048, 1088, 4.58725
W, 33884, 2048, 1726, 7.88573
L, 7792, 512, 536, 2.81226
L, 10780, 1024, 643, 2.85491
W, 34392, 2048, 1778, 7.64487
W, 32004, 2048, 1613, 7.70812
L, 5444, 512, 376, 2.2
W, 23620, 2048, 1227, 5.30785
L, 16892, 1024, 1006, 4.81883
W, 35084, 2048, 1817, 8.65559
W, 28040, 2048, 1485, 6.52719
W, 36728, 2048, 1917, 8.80053
L, 12476, 1024, 747, 3.28024
W, 22600, 2048, 1145, 6.17257
L, 10432, 1024, 610, 2.99145
L, 16588, 1024, 989, 4.78889
L, 17100, 1024, 1036, 4.63468
W, 27156, 2048, 1414, 6.75046
L, 6544, 512, 467, 2.44773
W, 35820, 2048, 1862, 8.63352
L, 16908, 1024, 1010, 4.59407
W, 34024, 2048, 1769, 7.87718
L, 15940, 1024, 937, 5.08127
W, 28040, 2048, 1472, 7.41534
L, 12476, 1024, 751, 3.84913
W, 21536, 2048, 1071, 5.36345
L, 13568, 1024, 801, 3.45789
W, 25408, 2048, 1292, 5.35272
L, 12196, 1024, 730, 3.26797
W, 36612, 2048, 1920, 8.1594
L, 15424, 1024, 892, 4.95556
L, 16352, 1024, 957, 5.0039
L, 11136, 1024, 656, 3.04888
L, 18140, 1024, 1089, 4.80613
L, 12280, 1024, 740, 4.40536
L, 19244, 1024, 1126, 5.27924
L, 5648, 512, 395, 2.07703
L, 16888, 1024, 1005, 4.87596
L, 8848, 512, 603, 2.91567
W, 23600, 2048, 1223, 5.74399
W, 27196, 2048, 1407, 6.68436
W, 59584, 4096, 2727, 11.7729
L, 14168, 1024, 817, 3.26745
L, 16256, 1024, 949, 4.53109
L, 12376, 1024, 752, 3.51061
L, 15412, 1024, 889, 4.49126
W, 26136, 2048, 1362, 6.32185
W, 38116, 2048, 2007, 9.25885
L, 8736, 512, 599, 2.7756
W, 34740, 2048, 1784, 7.8824
L, 13804, 1024, 823, 3.96293
L, 19744, 1024, 1160, 5.12642
L, 8788, 512, 597, 2.93931
W, 27740, 2048, 1477, 6.74506
W, 32236, 2048, 1643, 7.32856
W, 35380, 2048, 1817, 8.42823
L, 16408, 1024, 981, 5.01443
W, 35388, 2048, 1807, 7.77179
L, 7848, 512, 548, 2.92873
W, 26576, 2048, 1364, 5.64566
L, 13824, 1024, 828, 3.61316
W, 30448, 2048, 1533, 6.65565
L, 10464, 1024, 612, 3.13398
L, 16036, 1024, 933, 4.9337
W, 33516, 2048, 1666, 6.67848
W, 32972, 2048, 1698, 7.54946
L, 15168, 1024, 877, 3.85656
W, 33808, 2048, 1733, 7.75974
L, 7748, 512, 544, 2.34103
L, 16960, 1024, 1023, 4.5815
L, 8196, 512, 571, 2.86357
W, 36432, 2048, 1886, 7.94538
W, 31932, 2048, 1630, 6.31301
W, 52328, 4096, 2437, 10.4047
L, 7880, 512, 545, 2.81319
W, 25864, 2048, 1342, 5.97414
W, 36180, 2048, 1868, 6.76019
W, 32892, 2048, 1710, 7.82134
L, 16348, 1024, 967, 5.27486
W, 21808, 2048, 1097, 5.34964
L, 12220, 1024, 729, 3.32759
W, 31908, 2048, 1640, 7.1075
L, 12916, 1024, 777, 3.41587
L, 18124, 1024, 1054, 4.75521
L, 12152, 1024, 726, 3.6053
W, 27268, 2048, 1421, 6.86513
L, 8980, 512, 613, 2.98762
L, 12112, 1024, 720, 3.38269
L, 12096, 1024, 716, 2.88834
L, 12992, 1024, 790, 3.84327
L, 7336, 512, 506, 2.39233
W, 35764, 2048, 1848, 7.67142
L, 15860, 1024, 921, 4.2663
W, 34532, 2048, 1765, 8.24788
L, 16068, 1024, 945, 4.68311
